package,file,width,height,orange_ratio,bright_orange_ratio,orange_bbox_width,orange_bbox_height,orange_bbox_aspect,avg_orange_r,avg_orange_g,avg_orange_b,left_orange_samples,right_orange_samples,component_score,component_width,component_height,component_aspect,component_area,component_left_height,component_mid_height,component_diamond_ratio,component_left_area_ratio,component_right_area_ratio,component_min_x,component_min_y,component_max_x,component_max_y,score,long_orange_bar,diamond_long_bar,targetstatus_family,source
EFUI_CONFRONTHUD,confronthud_i8a_nopack.png,28,28,0.059949,0.059949,10.0,10.0,1.0,189.49,114.28,41.79,6,41,14.0,10.0,10.0,1.0,47,6.0,8.0,0.75,0.2553,0.0638,9.0,9.0,18.0,18.0,70.1429,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_CONFRONTHUD\Texture2D\confronthud_i8a_nopack.png
EFUI_REVERSERUINCHAOSRIFT,reverseruinentrancechaosrift_loc_int_i4.png,1024,1024,0.011612,0.010788,776.0,956.0,0.8117,201.95,141.72,55.75,54,707,28.0,96.0,64.0,1.5,197,60.0,64.0,0.9375,0.3452,0.1015,900.0,444.0,992.0,504.0,70.002,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_REVERSERUINCHAOSRIFT\Texture2D\reverseruinentrancechaosrift_loc_int_i4.png
EFUI_EPICGATEENTRANCEBM,epicgateentrancebm_ie.png,256,32,0.125,0.107178,55.0,22.0,2.5,239.19,81.44,0.82,1024,0,28.0,55.0,22.0,2.5,1018,22.0,22.0,1.0,0.1916,0.1454,3.0,2.0,57.0,23.0,69.7857,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATEENTRANCEBM\Texture2D\epicgateentrancebm_ie.png
EFUI_EPICGATECOMMANDERENTRANCE,epicgatecommanderentrance_i8.png,1024,1024,0.011978,0.006042,1004.0,760.0,1.3211,152.78,96.86,54.98,66,719,28.0,36.0,32.0,1.125,22,12.0,28.0,0.4286,0.3182,0.0909,852.0,356.0,884.0,384.0,68.77,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATECOMMANDERENTRANCE\Texture2D\epicgatecommanderentrance_i8.png
EFUI_FIELDBOSS,sylmaelfieldboss_i78_nopack.png,300,300,0.012344,0.004898,150.0,140.62,1.0667,198.57,47.59,22.97,49,760,28.0,52.73,39.84,1.3235,428,15.23,21.09,0.7222,0.1846,0.0888,164.06,90.23,215.62,128.91,68.682,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_FIELDBOSS\Texture2D\sylmaelfieldboss_i78_nopack.png
EFUI_ICONATLAS_B,bossmon_img_4.png,984,952,0.006852,0.001859,891.75,914.81,0.9748,137.28,78.64,60.52,145,290,32.0,3.84,30.75,0.125,8,30.75,0.0,8.0,1.0,0.0,526.59,910.97,526.59,937.87,68.3941,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_B\Texture2D\bossmon_img_4.png
EFUI_EPICGATEKAZEROTHENTRANCE,epicgatekazerothentrance_i2da.png,1024,1024,0.008408,0.00589,308.0,44.0,7.0,209.53,68.56,7.84,0,551,37.2727,136.0,44.0,3.0909,274,36.0,44.0,0.8182,0.1971,0.0511,404.0,632.0,536.0,672.0,68.2479,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATEKAZEROTHENTRANCE\Texture2D\epicgatekazerothentrance_i2da.png
EFUI_EPICGATEPROCESS,epicgateprocess_i50.png,1024,1024,0.007294,0.002594,900.0,192.0,4.6875,235.91,46.66,0.0,229,249,28.0,24.0,24.0,1.0,17,8.0,24.0,0.3333,0.1765,0.0588,352.0,452.0,372.0,472.0,67.1192,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATEPROCESS\Texture2D\epicgateprocess_i50.png
EFUI_STATUS,targetstatus_loc_int_i117.png,1024,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i117.png
EFUI_STATUS,targetstatus_loc_int_i215_nopack.png,548,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,False,True,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_STATUS\Texture2D\targetstatus_loc_int_i215_nopack.png
